,ì¡°í_,__,ì¢____,«ì___,êµ¬ë___,_,_ª©,__ê¸¸ì_
0,2274589,2020. 10. 31.,27000,2100,7730000,9689,-,112
1,2065762,2020. 10. 31.,23000,458,7730000,4525,-,81
2,1093602,2020. 11. 1.,17000,248,848000,3323,-,964
3,2741347,2020. 10. 30.,57000,777,1020000,5354,-,1142
4,1316428,2020. 10. 31.,9100,1600,586000,4595,-,1166
5,607062,2020. 11. 1.,11000,192,1110000,1427,-,673
6,1069185,2020. 11. 1.,24000,551,54000,3562,-,787
7,952983,2020. 11. 1.,15000,354,1250000,2065,-,1128
8,1143721,2020. 10. 31.,22000,281,44700,1126,-,572
9,351510,2020. 11. 1.,6300,144,3060000,642,-,516
10,239225,2020. 11. 1.,6900,255,465000,860,-,634
11,880658,2020. 10. 31.,26000,237,1350000,5616,-,482
12,648546,2020. 10. 31.,11000,475,844000,1254,-,909
13,624878,2020. 11. 1.,13000,351,1100000,2673,-,491
14,757232,2020. 10. 31.,24000,364,228000,1660,-,833
15,1201161,2020. 10. 30.,13000,499,116000,3988,-,1552
16,312503,2020. 11. 1.,11000,104,1300000,593,-,462
17,867153,2020. 10. 31.,10000,573,1430000,4416,-,131
18,472451,2020. 11. 1.,9300,192,279000,631,-,489
19,744306,2020. 11. 1.,3700,207,1080000,935,-,986
20,1126629,2020. 10. 31.,6900,392,235000,2197,-,275
21,914134,2020. 11. 2.,120000,6300,216000,10491,-,46
22,565462,2020. 10. 31.,8300,378,1180000,1145,-,717
23,2881826,2020. 10. 29.,100000,1100,822000,7108,-,876
24,498880,2020. 10. 31.,11000,236,89700,2541,-,484
25,527079,2020. 10. 31.,10000,519,911000,1983,-,497
26,616531,2020. 10. 30.,11000,304,622000,1060,-,829
27,138121,2020. 10. 31.,598,69,195,50,-,1039
28,3627930,2020. 11. 1.,410000,3700,8920000,15946,-,213
29,64220,2020. 11. 1.,994,43,142000,68,-,5
30,3468663,2020. 10. 28.,94000,2000,54100,13863,-,485
31,622841,2020. 10. 31.,41000,107,926000,5546,-,284
32,21623975,2020. 10. 28.,1100000,61000,13100000,116000,-,231
33,362438,2020. 10. 31.,8300,415,1210000,477,-,903
34,219477,2020. 11. 1.,4200,154,243000,564,-,245
35,77967,2020. 11. 1.,1600,36,171000,120,-,3189
36,1158452,2020. 11. 1.,150000,419,4500000,9865,-,305
37,1378454,2020. 10. 29.,29000,662,2650000,4392,-,341
38,2139755,2020. 10. 29.,110000,2500,15700000,4290,-,238
39,974427,2020. 10. 30.,43000,715,5310000,1665,-,221
40,513084,2020. 11. 1.,80000,725,0,19921,-,1326
41,81814,2020. 11. 1.,1000,53,183000,300,-,676
42,186787,2020. 10. 30.,4200,127,49500,182,-,1438
43,4834176,2020. 11. 2.,110000,2600,5600000,6344,-,254
44,238933,2020. 11. 1.,4800,109,2540000,537,-,1122
45,1288444,2020. 11. 1.,33000,604,1200000,8338,-,399
46,790020,2020. 10. 30.,13000,182,2250000,1082,-,1356
47,473335,2020. 11. 1.,140000,160,5250000,6562,-,222
48,405054,2020. 10. 31.,5400,187,228000,1253,-,1019
49,2015590,2020. 10. 28.,47000,1000,2280000,5624,-,414
0,2209140,2020. 11. 2.,19000,553,281000,12855,-,65
1,1971496,2020. 11. 2.,16000,537,2060000,6776,-,87
2,977783,2020. 11. 2.,7600,264,193000,1634,-,176
3,536577,2020. 11. 2.,6700,294,660000,1190,-,438
4,889145,2020. 11. 2.,6700,303,568000,2013,-,82
5,1188992,2020. 11. 2.,7700,375,568000,1668,-,83
6,237233,2020. 11. 3.,2000,57,193000,404,-,79
7,663663,2020. 11. 3.,5600,142,281000,1924,-,85
8,2492670,2020. 10. 31.,28000,2300,7730000,10073,-,112
9,465836,2020. 11. 2.,11000,173,845000,1348,-,585
10,292877,2020. 11. 2.,4400,65,324000,496,-,742
11,2259989,2020. 10. 31.,25000,504,7730000,4848,-,81
12,542998,2020. 11. 2.,10000,120,916000,1467,-,831
13,1299168,2020. 11. 1.,18000,315,849000,3685,-,964
14,1698306,2020. 11. 1.,34000,927,65600,4483,-,787
15,2895487,2020. 10. 30.,59000,823,1030000,5498,-,1142
16,1539570,2020. 10. 31.,10000,2000,586000,5135,-,1166
17,790595,2020. 11. 1.,13000,273,1110000,1638,-,673
18,343399,2020. 11. 2.,3600,113,654000,421,-,952
19,1189633,2020. 11. 1.,17000,432,1250000,2290,-,516
20,482081,2020. 11. 1.,7500,188,3060000,822,-,1128
21,1302726,2020. 10. 31.,25000,327,47900,1195,-,572
22,344355,2020. 11. 1.,7800,464,466000,974,-,634
23,22065,2020. 11. 3.,102,12,141000,49,-,51
24,1023734,2020. 10. 31.,28000,273,1350000,5955,-,482
25,6310404,2020. 11. 2.,450000,3200,4490000,65731,-,182
26,895086,2020. 10. 31.,28000,402,229000,1838,-,946
27,288901,2020. 11. 2.,4500,83,324000,397,-,833
28,1182427,2020. 11. 2.,140000,7600,231000,12166,-,46
